WEEK,LGCL_DM,START,END,DIFF,DIFF_MINS,DIFF_SEC,TOTAL_JOB,CLIENT,DIM,COMP,TOTAL
2046,RGM_TSV_22_M,  Wed Nov 21 16:43:14 CST 2018,  Wed Nov 21 16:45:18 CST 2018,00:02:04,2,124,0,0,0,0,0
2047,RGM_TSV_22_M,  Thu Nov 29 03:47:57 CST 2018,  Thu Nov 29 03:50:28 CST 2018,00:02:31,2,151,0,0,0,0,0
2048,RGM_TSV_22_M,  Tue Dec  4 07:05:52 CST 2018,  Tue Dec  4 07:11:54 CST 2018,00:06:02,6,362,0,0,0,0,0
2049,RGM_TSV_22_M,  Thu Dec 13 19:41:32 CST 2018,  Thu Dec 13 19:43:03 CST 2018,00:01:31,1,91,0,0,0,0,0
2050,RGM_TSV_22_M,  Mon Dec 17 14:21:43 CST 2018,  Mon Dec 17 14:23:25 CST 2018,00:01:42,1,102,0,0,0,0,0
2051,RGM_TSV_22_M,  Wed Dec 26 18:44:07 CST 2018,  Wed Dec 26 18:46:32 CST 2018,00:02:25,2,145,0,0,0,0,0
2052,RGM_TSV_22_M,  Wed Jan  2 18:35:08 CST 2019,  Wed Jan  2 18:39:41 CST 2019,00:04:33,4,273,0,0,0,0,0
2053,RGM_TSV_22_M,  Wed Jan  9 18:17:14 CST 2019,  Wed Jan  9 18:23:19 CST 2019,00:06:05,6,365,0,0,0,0,0
2054,RGM_TSV_22_M,  Wed Jan 16 13:32:49 CST 2019,  Wed Jan 16 13:39:03 CST 2019,00:06:14,6,374,0,0,0,0,0
2055,RGM_TSV_22_M,  Wed Jan 23 15:39:19 CST 2019,  Wed Jan 23 15:46:36 CST 2019,00:07:17,7,437,0,0,0,0,0
2056,RGM_TSV_22_M,  Wed Jan 30 18:41:28 CST 2019,  Wed Jan 30 18:51:18 CST 2019,00:09:50,9,590,0,0,0,0,0
2057,RGM_TSV_22_M,  Thu Feb  7 11:39:07 CST 2019,  Thu Feb  7 11:42:58 CST 2019,00:03:51,3,231,0,0,0,0,0
2058,RGM_TSV_22_M,  Thu Feb 14 02:11:20 CST 2019,  Thu Feb 14 02:15:37 CST 2019,00:04:17,4,257,0,0,0,0,0
2059,RGM_TSV_22_M,  Wed Feb 20 11:15:02 CST 2019,  Wed Feb 20 11:19:27 CST 2019,00:04:25,4,265,0,0,0,0,0
2060,RGM_TSV_22_M,  Wed Feb 27 19:20:45 CST 2019,  Wed Feb 27 19:26:33 CST 2019,00:05:48,5,348,0,0,0,0,0
2061,RGM_TSV_22_M,  Thu Mar  7 11:12:08 CST 2019,  Thu Mar  7 11:16:43 CST 2019,00:04:35,4,275,0,0,0,0,0
2062,RGM_TSV_22_M,  Wed Mar 13 15:16:42 CDT 2019,  Wed Mar 13 15:20:46 CDT 2019,00:04:04,4,244,0,0,0,0,0
2063,RGM_TSV_22_M,  Thu Mar 21 09:20:24 CDT 2019,  Thu Mar 21 09:24:22 CDT 2019,00:03:58,3,238,0,0,0,0,0
2064,RGM_TSV_22_M,  Wed Mar 27 10:18:50 CDT 2019,  Wed Mar 27 10:24:30 CDT 2019,00:05:40,5,340,0,0,0,0,0
2065,RGM_TSV_22_M,  Wed Apr  3 19:19:23 CDT 2019,  Wed Apr  3 19:23:45 CDT 2019,00:04:22,4,262,0,0,0,0,0
2066,RGM_TSV_22_M,  Wed Apr 10 10:09:31 CDT 2019,  Wed Apr 10 10:13:18 CDT 2019,00:03:47,3,227,0,0,0,0,0
2067,RGM_TSV_22_M,  Wed Apr 17 14:39:30 CDT 2019,  Wed Apr 17 14:44:27 CDT 2019,00:04:57,4,297,0,0,0,0,0
2068,RGM_TSV_22_M,  Wed Apr 24 16:13:53 CDT 2019,  Wed Apr 24 16:20:04 CDT 2019,00:06:11,6,371,0,0,0,0,0
2069,RGM_TSV_22_M,  Wed May  1 16:57:55 CDT 2019,  Wed May  1 17:02:53 CDT 2019,00:04:58,4,298,0,0,0,0,0
2070,RGM_TSV_22_M,  Wed May  8 15:31:44 CDT 2019,  Wed May  8 15:36:27 CDT 2019,00:04:43,4,283,0,0,0,0,0
2071,RGM_TSV_22_M,  Thu May 16 05:40:05 CDT 2019,  Thu May 16 05:44:42 CDT 2019,00:04:37,4,277,0,0,0,0,0
2072,RGM_TSV_22_M,  Wed May 22 15:55:07 CDT 2019,  Wed May 22 16:06:40 CDT 2019,00:11:33,11,693,0,0,0,0,0
2073,RGM_TSV_22_M,  Wed May 29 19:56:10 CDT 2019,  Wed May 29 20:00:27 CDT 2019,00:04:17,4,257,0,0,0,0,0
2074,RGM_TSV_22_M,  Wed Jun  5 15:35:55 CDT 2019,  Wed Jun  5 15:40:23 CDT 2019,00:04:28,4,268,0,0,0,0,0
2075,RGM_TSV_22_M,  Wed Jun 12 23:05:15 CDT 2019,  Wed Jun 12 23:09:33 CDT 2019,00:04:18,4,258,0,0,0,0,0
2076,RGM_TSV_22_M,  Wed Jun 19 21:47:38 CDT 2019,  Wed Jun 19 21:54:42 CDT 2019,00:07:04,7,424,0,0,0,0,0
2077,RGM_TSV_22_M,  Wed Jun 26 11:23:24 CDT 2019,  Wed Jun 26 11:28:32 CDT 2019,00:05:08,5,308,0,0,0,0,0
2078,RGM_TSV_22_M,  Wed Jul  3 08:39:51 CDT 2019,  Wed Jul  3 08:44:42 CDT 2019,00:04:51,4,291,0,0,0,0,0
2079,RGM_TSV_22_M,  Wed Jul 10 21:54:46 CDT 2019,  Wed Jul 10 21:59:39 CDT 2019,00:04:53,4,293,0,0,0,0,0
2080,RGM_TSV_22_M,  Wed Jul 17 19:58:24 CDT 2019,  Wed Jul 17 20:04:04 CDT 2019,00:05:40,5,340,0,0,0,0,0
2081,RGM_TSV_22_M,  Wed Jul 24 22:03:39 CDT 2019,  Wed Jul 24 22:08:10 CDT 2019,00:04:31,4,271,0,0,0,0,0
2082,RGM_TSV_22_M,  Wed Jul 31 21:34:16 CDT 2019,  Wed Jul 31 21:39:42 CDT 2019,00:05:26,5,326,0,0,0,0,0
2083,RGM_TSV_22_M,  Wed Aug  7 21:23:10 CDT 2019,  Wed Aug  7 21:27:50 CDT 2019,00:04:40,4,280,0,0,0,0,0
